opex,category,code,label
CREWING,OFFICERS,41110,Officers Consolid. Wages
CREWING,OFFICERS,41140,Sick Pay - Officers
CREWING,OFFICERS,41170,Officers Incentive Plan
CREWING,RATINGS,41120,Ratings Consolid. Wages
CREWING,RATINGS,41130,"Change of Manning, Wages"
CREWING,RATINGS,41150,Sick Pay - Ratings
CREWING,RATINGS,41240,Ratings OT
CREWING,RATINGS,41250,Leave Pay
CREWING,RATINGS,41260,Sick Pay
CREWING,TRAINING,41160,Training Pay
CREWING,TRAINING,41180,Officers Training Exp
CREWING,TRAINING,41190,Cadet Training
CREWING,TRAINING,41200,Cadet Training Officer
CREWING,TRAINING,41210,Onboard Training
CREWING,TRAINING,41215,Sundry SB Training Exp
CREWING,TRAINING,41220,Shore Based Training
CREWING,TRAINING,41221,SB Training Alloc -Cadets
CREWING,TRAINING,41225,Sundry Forum Exp
CREWING,TRAINING,41230,Officer Forum
CREWING,TRAINING,41502,Cadets Airfare
CREWING,TRAINING,41561,Pre-Joining Alloc - Cadets
CREWING,TRAINING,41410,Officers Manning Exps
CREWING,CREW_EXPENSES,41420,Social Fees
CREWING,CREW_EXPENSES,41420.110,MI Philippines
CREWING,CREW_EXPENSES,41420.120,MI Sri Lanka
CREWING,CREW_EXPENSES,41420.130,MI Ukraine
CREWING,CREW_EXPENSES,41420.140,MI India
CREWING,CREW_EXPENSES,41420.150,MI Bangladesh
CREWING,CREW_EXPENSES,41420.160,MI China
CREWING,CREW_EXPENSES,41420.510,SF Philippines
CREWING,CREW_EXPENSES,41420.520,SF Sri Lanka
CREWING,CREW_EXPENSES,41420.530,SF Ukraine
CREWING,CREW_EXPENSES,41420.540,SF India
CREWING,CREW_EXPENSES,41420.550,SF China-Sino Crew
CREWING,CREW_EXPENSES,41430,Union Fees
CREWING,CREW_EXPENSES,41435,HK Seafarers Mutual Assi. Fund
CREWING,CREW_EXPENSES,41440,Working Gear/Uniform
CREWING,CREW_EXPENSES,41450,Prejoining Expense
CREWING,CREW_EXPENSES,41460,Sundry Manning Expense
CREWING,CREW_EXPENSES,41470,Communication Costs
CREWING,CREW_EXPENSES,41480,Bank Charges V1
CREWING,CREW_EXPENSES,41490,Social Pay
CREWING,CREW_EXPENSES,41500,Officers Airfare
CREWING,CREW_EXPENSES,41505,Airfare VCR
CREWING,CREW_EXPENSES,41510,Ratings Airfare
CREWING,CREW_EXPENSES,41511,Supernumerary Airfare
CREWING,CREW_EXPENSES,41520,Visa Fees
CREWING,CREW_EXPENSES,41530,Port Agent Fees
CREWING,CREW_EXPENSES,41530.100,Crewing Port Disbursement
CREWING,CREW_EXPENSES,41540,Sundry Travel
CREWING,CREW_EXPENSES,41542,Port Transportation
CREWING,CREW_EXPENSES,41544,Meals and Accomodation
CREWING,CREW_EXPENSES,41550,Supernumerary Travel
CREWING,CREW_EXPENSES,41560,Officers Prejoining Expenses
CREWING,CREW_EXPENSES,41570,Officers Drug & Alcohol
CREWING,CREW_EXPENSES,41580,Ratings Prejoining Expenses
CREWING,CREW_EXPENSES,41590,Ratings Drug & Alcohol
CREWING,CREW_EXPENSES,41600,Flag State Lic/Medic
CREWING,CREW_EXPENSES,41610,Exp Personnel Incident Ex
CREWING,CREW_EXPENSES,41620,Flag State/Medical
CREWING,CREW_EXPENSES,41630,Social Fees
CREWING,CREW_EXPENSES,41640,ITF Union Fees
CREWING,CREW_EXPENSES,41650,Working Gear/Uniform
CREWING,CREW_EXPENSES,41660,Manning Agents Fees
CREWING,CREW_EXPENSES,41660.000,Manning Agents Fees (Stand-alone)
CREWING,CREW_EXPENSES,41660.001,PTC Fees
CREWING,CREW_EXPENSES,41660.002,ALPHA Fees
CREWING,CREW_EXPENSES,41660.003,UNIVIS Fees
CREWING,CREW_EXPENSES,41660.004,CEYUNE Fees
CREWING,CREW_EXPENSES,41660.005,SINOCREW Fees
